pop2023,growthRate,country,cca3,region,subregion,landAreaKm,ranking.22,ranking.21,ranking.20,Education.Foreignborn,Education.Nativeborn,Migration.1,HDI.HDI,HDI.Mean_years_of_schooling,HDI.GNI,Happiness.Happiness2021,Happiness.Happiness2020,Happiness.ScoreChange
123294513,-0.0053,Japan,JPN,Asia,Eastern Asia,364500,8,25,18,,,220612,0.925,13.4,42274,5.94,5.871,0.069
2825544,-0.00065,Jamaica,JAM,North America,Caribbean,10830,,,,,,,,,,6.309,5.89,0.419
28873034,0.0253,IvoryCoast,CIV,Africa,Western Africa-Sub-Saharan Africa,318000,,,,,,,,,,,,
58870762,-0.00282,Italy,ITA,Europe,Southern Europe,295717,10,7,6,70.2,82.7,191766,0.895,10.7,42840,6.483,6.387,0.096
9174520,0.01507,Israel,ISR,Asia,Western Asia-The Middle East,21640,10,7,21,85.5,88.5,19676,0.919,13.3,41524,7.157,7.129,0.028
5056935,0.00673,Ireland,IRL,Europe,Northern Europe,68890,69,93,70,81.6,87.3,56500,0.945,11.6,76169,7.085,7.129,-0.044
45504560,0.02266,Iraq,IRQ,Asia,Western Asia-The Middle East,434128,,89,97,,,,,,,4.854,4.785,0.069
89172767,0.00703,Iran,IRN,Asia,Southern Asia-The Middle East,1622500,8,29,18,,,,0.774,10.6,13001,4.721,4.672,0.049
277534122,0.00738,Indonesia,IDN,Asia,South-Eastern Asia,1877519,38,33,32,,,,,,,5.345,5.286,0.059
1428627663,0.00808,India,IND,Asia,Southern Asia-South Central Asia,2973190,24,26,,,,,,,,3.819,3.573,0.246
375318,0.00649,Iceland,ISL,Europe,Northern Europe,100830,83,94,92,89.8,91.9,7711,0.959,13.8,55782,7.554,7.504,0.050
10156239,0.01896,Hungary,HUN,Europe,Eastern Europe,91260,32,32,13,87.2,85.7,43785,0.846,12.2,32789,5.992,6,-0.008
7491609,0.00037,HongKong,HKG,Asia,Eastern Asia,1050,19,21,28,,,,0.952,12.2,62607,,,
10593798,0.01543,Honduras,HND,North America,Central America-Latin America,111890,88,92,88,,,,,,,5.919,5.953,-0.034
11724763,0.01206,Haiti,HTI,North America,Caribbean,27560,,,,,,,,,,3.615,3.721,-0.106
14190612,0.0239,Guinea,GIN,Africa,Western Africa-Sub-Saharan Africa,245720,,,,,,,,,,4.984,4.949,0.035
18092026,0.01391,Guatemala,GTM,North America,Central America-Latin America,107160,,,,,,,,,,6.435,6.399,0.036
10341277,-0.00421,Greece,GRC,Europe,Southern Europe,128900,,,,55.2,77,63357,0.887,11.4,29002,5.723,5.515,0.208
34121985,0.0193,Ghana,GHA,Africa,Western Africa-Sub-Saharan Africa,227533,97,94,93,,,,,,,5.088,5.148,-0.060
83294633,-0.0009,Germany,DEU,Europe,Western Europe,349390,,,,80,91.4,994819,0.942,14.1,54534,7.155,7.076,0.079
3728282,-0.0043,Georgia,GEO,Asia,Western Asia,69490,53,41,18,,,,0.802,12.8,14664,4.891,4.673,0.218
2773168,0.02483,Gambia,GMB,Africa,Western Africa-Sub-Saharan Africa,10120,,,,,,,,,,5.051,4.751,0.300
2436566,0.01991,Gabon,GAB,Africa,Middle Africa-Sub-Saharan Africa,257670,,,,,,,,,,4.852,4.829,0.023
64756584,0.00201,France,FRA,Europe,Western Europe,547557,32,27,14,73.2,87.8,200495,0.903,11.6,45937,6.69,6.664,0.026
5545475,0.00085,Finland,FIN,Europe,Northern Europe,303940,62,69,60,76.1,86.8,23260,0.940,12.9,49452,7.842,7.809,0.033
